year,cznuts_cz,nuts,cznuts_en,school_type_cz,school_type_en,total_teachers,women,men,qualified,unqualified,school_cluster_code,men_percent,salary_women,salary_men,salary_total,salary_proportion_m_w,paygap_w_m
2020,Hlavní město Praha,CZ010,Prague,Regionální školství,All Schools,25341.8,20026,5315.8,22854,2487.8,ALL,0.2,44738.3,45286.3,44848.3,0.98789921,-548
2020,Hlavní město Praha,CZ010,Prague,Střední škola,Upper-Secondary School,6027.7,3674.2,2353.5,5708.4,319.3,SS_K,0.38,48425.7,46250.6,47594.5,1.047028579,2175.1
2020,Hlavní město Praha,CZ010,Prague,Základní škola,Basic School,7260.7,6009,1251.7,6362.4,898.3,ZS_SEN_2,0.17,45999,44840,45803.8,1.025847458,1159
2021,Hlavní město Praha,CZ010,Prague,Mateřská škola,Nursery School,3892.6,3840.1,52.5,3481.9,410.7,PV_MS_PT,0.01,38724.8,39315.5,38730,0.984975391,-590.7
2021,Hlavní město Praha,CZ010,Prague,Regionální školství,All Schools,26173.5,20587.8,5585.7,23391.5,2782,ALL,0.2,47933.3,48708.6,48092,0.984082893,-775.3
2021,Hlavní město Praha,CZ010,Prague,Střední škola,Upper-Secondary School,6142.3,3711.2,2431.1,5765.3,377,SS_K,0.38,51962.8,49577.7,51051.7,1.048108323,2385.1
2021,Hlavní město Praha,CZ010,Prague,Základní škola,Basic School,7636.5,6268.2,1368.3,6646.8,989.7,ZS_SEN_2,0.17,49418.1,48472.5,49253.7,1.019507968,945.6
2022,Hlavní město Praha,CZ010,Prague,Mateřská škola,Nursery School,3940.6,3886.1,54.5,3567.7,372.9,PV_MS_PT,0.01,40100.1,39277.9,40091.6,1.020932891,822.2
2022,Hlavní město Praha,CZ010,Prague,Regionální školství,All Schools,26956.9,21101.8,5855.1,23942.8,3014.1,ALL,0.21,48791.7,49979.3,49038.5,0.976238163,-1187.6
2022,Hlavní město Praha,CZ010,Prague,Střední škola,Upper-Secondary School,6365.6,3843.5,2522.1,5957.7,407.9,SS_K,0.38,53058.3,50939.2,52247.2,1.041600575,2119.1
2022,Hlavní město Praha,CZ010,Prague,Základní škola,Basic School,7847.2,6401.1,1446.1,6739.1,1108.1,ZS_SEN_2,0.18,50045.3,49738.2,49990.8,1.006174329,307.1
2023,Hlavní město Praha,CZ010,Prague,Mateřská škola,Nursery School,4043.4,3989.2,54.2,3696.2,347.2,PV_MS_PT,0.01,41221.4,40245.4,41213.4,1.024251219,976
2023,Hlavní město Praha,CZ010,Prague,Regionální školství,All Schools,28121.1,21927.8,6193.3,24802.9,3318.2,ALL,0.22,50132.5,51910.4,50518.5,0.965750601,-1777.9
2023,Hlavní město Praha,CZ010,Prague,Střední škola,Upper-Secondary School,6500.4,3898.2,2602.2,6075.6,424.8,SS_K,0.38,54915.5,52727,54089.7,1.041506249,2188.5
2023,Hlavní město Praha,CZ010,Prague,Základní škola,Basic School,8298.4,6741.7,1556.7,7036.5,1261.9,ZS_SEN_2,0.18,52293.3,51760.4,52197.9,1.010295515,532.9
2024,Hlavní město Praha,CZ010,Prague,Mateřská škola,Nursery School,4104.1,4047.7,56.4,3656.1,448,PV_MS_PT,0.01,42672.6,41458.6,42663.1,1.029282224,1214
2024,Hlavní město Praha,CZ010,Prague,Regionální školství,All Schools,28636.3,22353.4,6282.9,24838.1,3798.2,ALL,0.22,51384.3,52976.3,51739.3,0.969948826,-1592
2024,Hlavní město Praha,CZ010,Prague,Střední škola,Upper-Secondary School,6655.2,3993.5,2661.7,6126.1,529.1,SS_K,0.39,55987.2,53723.8,55106.8,1.042130304,2263.4
2024,Hlavní město Praha,CZ010,Prague,Základní škola,Basic School,8463.3,6879.9,1583.4,7062.1,1401.2,ZS_SEN_2,0.18,53408.8,52665.7,53275.5,1.014109753,743.1
2010,Středočeský kraj,CZ020,Central Bohemian Region,Regionální školství,All Schools,20788.4,17132.8,3655.6,16738.7,4049.7,ALL,0.19,23602.1,25127.34,23887.17,0.939299621,-1525.24
